0.0,23.0,48.5,2.0,0
0.0,72.0,48.5,2.0,1
26.0,25.0,48.5,2.0,1
-11.0,47.5,47.5,2.0,1
9.0,49.0,49.0,2.0,0
-33.0,48.5,49.0,2.0,0
18.0,72.0,72.0,2.0,0
-32.0,48.0,48.0,2.0,1
12.0,48.0,48.0,3.0,0
-16.0,49.0,49.0,2.0,0
-4.0,48.0,48.0,2.0,1
3.0,47.5,47.5,2.0,1
-7.0,47.5,46.5,2.0,1
15.0,24.5,24.5,2.0,1
4.0,48.0,72.0,2.0,1
-27.0,24.0,24.5,3.0,0
-5.0,23.5,24.5,2.0,1
-15.0,24.5,24.5,2.0,0
-2.0,24.5,48.5,3.0,1
-1.0,23.0,23.5,2.0,1
23.0,48.0,47.0,2.0,1
-5.0,48.0,71.5,2.0,1
-25.0,48.0,48.0,2.0,1
41.0,47.0,47.0,3.0,1
12.0,23.5,47.0,3.0,0
39.0,48.0,48.0,2.0,1
-18.0,42.0,43.0,3.0,0
8.0,49.0,48.5,3.0,1
-1.0,25.5,49.0,3.0,1
-4.0,25.5,49.0,3.0,1
-9.0,25.0,48.5,3.0,1
9.0,48.5,73.0,2.0,0
-19.0,72.5,49.0,2.0,1
-8.0,73.0,72.5,2.0,1
26.0,24.5,73.0,2.0,1
-20.0,54.5,73.0,4.0,1
-23.0,49.0,96.0,2.0,0
0.0,49.5,49.5,2.0,0
-17.0,48.5,49.0,2.0,0
4.0,49.0,72.5,2.0,0
17.0,48.5,49.0,3.0,0
-11.0,48.5,121.5,4.0,1
14.0,24.5,48.5,3.0,0
-34.0,24.0,47.5,3.0,0
-29.0,24.5,48.5,3.0,0
-17.0,25.0,49.0,2.0,1
24.0,24.5,48.0,2.0,0
-13.0,23.5,23.5,3.0,1
5.0,24.0,48.0,4.0,0
-14.0,23.5,78.0,2.0,1
-4.0,23.5,24.0,2.0,0
10.0,49.0,49.0,2.0,0
-30.0,122.0,49.0,2.0,1
43.0,48.5,48.5,4.0,0
3.0,48.0,96.0,5.0,1
5.0,96.0,48.0,2.0,0
2.0,72.5,48.0,2.0,1
16.0,48.0,47.5,2.0,1
9.0,48.0,48.0,5.0,1
-24.0,48.0,48.5,4.0,1
0.0,72.0,48.0,3.0,0
-4.0,48.0,46.5,2.0,0
-16.0,24.0,48.5,2.0,0
33.0,48.0,48.0,3.0,1
-3.0,47.5,72.0,2.0,1
8.0,23.0,72.5,3.0,1
-8.0,23.5,24.0,5.0,1
-19.0,24.0,47.0,2.0,1
-24.0,24.5,71.0,3.0,1
3.0,24.0,24.0,6.0,1
23.0,23.5,24.5,2.0,1
-34.0,24.0,24.5,2.0,0
22.0,72.0,46.5,2.0,0
-3.0,42.0,42.0,2.0,1
5.0,47.5,47.0,2.0,1
-21.0,47.0,46.5,2.0,1
6.0,47.0,46.5,2.0,1
22.0,46.5,23.0,2.0,1
-3.0,41.5,42.0,5.0,0
-4.0,25.5,25.5,3.0,1
5.0,25.0,48.0,3.0,0
-4.0,48.5,48.0,2.0,0
-7.0,30.0,30.0,6.0,0
-16.0,48.0,72.0,4.0,1
-10.0,49.0,72.0,3.0,0
-15.0,72.0,72.0,6.0,0
1.0,96.0,72.0,2.0,1
-8.0,49.0,71.5,2.0,0
11.0,54.5,96.0,2.0,1
-3.0,49.0,49.0,2.0,1
13.0,48.0,96.0,3.0,1
-9.0,24.5,78.5,2.0,1
15.0,24.5,24.0,2.0,1
27.0,47.5,120.0,2.0,1
0.0,24.5,48.0,3.0,0
11.0,24.0,95.5,7.0,1
-16.0,24.0,47.5,3.0,0
-13.0,48.5,96.0,2.0,0
-8.0,96.5,48.0,2.0,0
-4.0,120.0,25.0,3.0,0
10.0,49.0,49.5,4.0,1
-11.0,24.0,48.0,2.0,1
3.0,24.0,47.5,2.0,1
1.0,23.0,97.0,2.0,1
-4.0,24.0,48.5,4.0,0
7.0,48.5,48.5,3.0,0
-6.0,25.0,49.5,2.0,1
3.0,48.5,48.0,2.0,0
-27.0,47.5,48.0,3.0,0
-10.0,48.0,46.5,4.0,0
-4.0,48.5,48.0,3.0,0
15.0,47.5,47.0,2.0,1
-2.0,47.5,47.5,4.0,0
-2.0,47.5,72.0,2.0,1
9.0,24.0,23.0,2.0,1
-13.0,24.0,71.5,5.0,0
7.0,24.0,72.0,2.0,1
11.0,24.5,47.5,5.0,1
-13.0,23.0,72.0,2.0,1
10.0,24.0,71.5,2.0,1
16.0,24.5,47.5,3.0,1
6.0,24.0,72.5,4.0,1
-1.0,72.0,72.0,4.0,0
-2.0,71.5,95.5,2.0,0
-5.0,47.0,23.0,4.0,0
5.0,47.5,46.0,3.0,0
3.0,46.5,22.5,2.0,0
4.0,46.5,70.5,3.0,1
-9.0,48.0,48.0,6.0,1
1.0,25.0,47.5,5.0,0
1.0,48.0,72.0,2.0,1
7.0,71.5,71.5,5.0,1
-3.0,49.0,94.5,4.0,1
-3.0,49.5,49.0,2.0,0
2.0,49.5,49.0,2.0,1
-2.0,49.5,72.0,2.0,0
-14.0,72.5,72.0,2.0,0
-3.0,49.0,72.0,3.0,1
4.0,72.0,96.0,2.0,0
6.0,23.5,48.0,2.0,1
-2.0,24.5,96.5,6.0,1
